building_id,building_type,X,Y
1,1,735503.3459,2556377.739
2,1,734604.0654,2556266.839
3,1,734966.2478,2556608.852
4,1,735292.1427,2556677.51
5,1,735526.9062,2556267.267
6,1,735494.3923,2556348.863
7,1,734384.4155,2555992.587
8,2,734975.6555,2556641.49
9,2,734837.6104,2556032.423
10,2,734704.0775,2556245.103
11,2,734942.5071,2556133.061
12,2,734819.2433,2556720.215
13,2,735026.4246,2556745.969
14,2,735453.6504,2556278.074
15,2,735052.478,2556845.598
16,2,734807.5769,2555877.317
17,2,734873.8497,2556133.655
18,2,734263.617,2555966.594
19,2,735067.3738,2556934.582
20,3,735514.7309,2556304.32
21,3,735470.1,2556652.873
22,3,735411.6705,2556647.105
23,3,735465.9753,2556683.097
24,3,735409.0651,2556678.487
25,3,735456.5735,2556815.413
26,3,735459.2324,2556848.961
27,3,735478.3691,2556898.884
28,3,735428.794,2556297.768
29,3,735502.017,2556425.67
30,3,735451.7633,2556480.546
31,3,735496.5525,2556484.989
32,3,735423.831,2556514.655
33,3,735491.1844,2556516.725
34,3,735416.9542,2556545.233
35,3,735485.4617,2556552.104
36,3,735478.2635,2556583.558
37,3,735419.4397,2556576.78
38,3,735474.989,2556619.017
39,3,735414.1182,2556612.727
40,3,734644.7308,2556297.684
41,3,735349.1106,2556679.108
42,4,735035.9078,2556491.55
