residential_building_id,room_id,school,major,vaccination,incubation_period,S_to_E,Ip_to_I,infection_period,I_to_R,health_level
20,1,4,46,0,6162,0,0,12908,0,1.06636252
20,1,4,45,0,9691,0,0,12271,0,0.94981433
20,1,4,45,0,3987,0,0,10610,0,0.90716317
20,1,4,45,0,9579,0,0,12285,0,0.88507195
20,2,4,45,0,3987,0,0,13305,0,1.01678191
20,2,4,46,0,11093,0,0,7463,0,0.95815973
20,2,4,45,0,9450,0,0,10103,0,1.15113718
20,2,4,45,0,6391,0,0,17609,0,1.07493117
20,3,4,45,0,13040,0,0,6848,0,1.1482605
20,3,4,45,0,3609,0,0,9805,0,1.06252825
20,3,4,45,0,3398,0,0,9004,0,1.16649317
20,3,4,45,0,5574,0,0,11824,0,1.17467756
20,4,4,45,0,8420,0,0,15445,0,0.96429743
20,4,4,46,0,15866,0,0,11379,0,1.01774321
20,4,4,46,0,6783,0,0,9813,0,1.0348513
20,4,4,45,0,7390,0,0,8768,0,0.98882141
20,5,4,45,0,17206,0,0,9910,0,0.82610202
20,5,4,46,0,10611,0,0,11057,0,0.85181764
20,5,4,46,0,4090,0,0,6831,0,0.91213725
20,5,4,46,0,5313,0,0,11517,0,1.09914101
20,6,4,45,0,4810,0,0,15179,0,1.10508432
20,6,4,45,0,3432,0,0,11301,0,0.86773387
20,6,4,45,0,11962,0,0,8778,0,0.90726049
20,6,4,45,0,4596,0,0,12959,0,0.97726367
20,7,4,45,0,8817,0,0,10486,0,0.96932258
20,7,4,46,0,10773,0,0,10525,0,1.16978874
20,7,4,45,0,5931,0,0,16300,0,1.03117983
20,7,4,45,0,11958,0,0,12542,0,0.85794745
20,8,4,46,0,12282,0,0,9965,0,1.02045163
20,8,4,45,0,4098,0,0,13026,0,1.1798024
20,8,4,46,0,15394,0,0,9394,0,0.91238515
20,8,4,45,0,3762,0,0,8239,0,1.01630178
20,9,4,45,0,10342,0,0,12434,0,1.09849567
20,9,4,46,0,14843,0,0,11615,0,1.02257099
20,9,4,46,0,10407,0,0,13047,0,1.00526372
20,9,4,45,0,5948,0,0,12087,0,0.87571367
20,10,4,46,0,14596,0,0,13847,0,1.13963397
20,10,4,45,0,7629,0,0,12622,0,1.00770478
20,10,4,46,0,7644,0,0,14927,0,0.83523686
20,10,4,46,0,10874,0,0,7884,0,0.91833616
20,11,4,46,0,8126,0,0,7005,0,1.17127262
20,11,4,45,0,11075,0,0,10310,0,0.99276694
20,11,4,45,0,7002,0,0,7397,0,1.03273779
20,11,4,46,0,13192,0,0,8296,0,1.10968044
20,12,4,46,0,3514,0,0,19330,0,1.0579767
20,12,4,46,0,5261,0,0,6482,0,0.95077211
